text;retweet_count;favorited;truncated;id_str;in_reply_to_screen_name;source;retweeted;created_at;in_reply_to_status_id_str;in_reply_to_user_id_str;lang;listed_count;verified;location;user_id_str;description;geo_enabled;user_created_at;statuses_count;followers_count;favourites_count;protected;user_url;name;time_zone;user_lang;utc_offset;friends_count;screen_name;country_code;country;place_type;full_name;place_name;place_id;place_lat;place_lon;lat;lon;expanded_url;url
"RT @cunadelanoticia: #RosarioSangra: Convocan a una nueva #marcha por #seguridad
https://t.co/9Zk8FUt0a8  #Rosario #Muerte #Inseguridad htt…";33;FALSO;FALSO;7,73E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";FALSO;Tue Sep 06 23:06:55 +0000 2016;NA;NA;es;7;FALSO;Rosario, Argentina;328605609;NA;VERDADERO;Sun Jul 03 17:55:13 +0000 2011;2071;465;1416;FALSO;NA;GMarizza;Buenos Aires;es;-10800;1238;GMarizza;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;http://www.cunadelanoticia.com/?p=106068;https://t.co/9Zk8FUt0a8
#RosarioSangra. Y los fiscales ante esto no actúan de oficio ??? Estamos absolutamente desprotegidos https://t.co/Hf1SzkaUCV;0;FALSO;FALSO;7,73E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";FALSO;Tue Sep 06 23:24:36 +0000 2016;NA;NA;es;0;FALSO;NA;4308556535;madre, abogada y cansada de tanta inseguridad e injusticia en Rosario.;FALSO;Sat Nov 28 15:49:57 +0000 2015;170;41;332;FALSO;NA;Isabella Coria;NA;es;NA;205;isasolcoria;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;https://twitter.com/ajms7/status/773193650369167360;https://t.co/Hf1SzkaUCV
RT @isasolcoria: #RosarioSangra. Y los fiscales ante esto no actúan de oficio ??? Estamos absolutamente desprotegidos https://t.co/Hf1SzkaU…;1;FALSO;FALSO;7,73E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";FALSO;Tue Sep 06 23:26:22 +0000 2016;NA;NA;es;26;FALSO;Rosario;156502916;zona sur de Rosario - Leproso quejoso y gorila - si no te gusta anda a lavarte el upite;VERDADERO;Thu Jun 17 03:24:26 +0000 2010;61009;2179;20821;FALSO;NA;Gallo Claudio;Buenos Aires;es;-10800;2355;ajms7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;https://twitter.com/ajms7/status/773193650369167360;https://t.co/Hf1SzkaUCV
#RosarioSangra  a 48hs de pedir x nuestro derecho a vivir en libertad el hijo tiene que pedir sangre @maxipullaro . https://t.co/MpH3w0Z9H8;0;FALSO;FALSO;7,73E+17;NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";FALSO;Tue Sep 06 23:27:02 +0000 2016;NA;NA;es;20;FALSO;Brooklyn, NY;2784757783;Libertad para ser ineficiente y desgraciado.Libertad para ser una clavija redonda en un agujero cuadrado. (Un mundo feliz, Aldous Huxley) (((CHATARRERA)));VERDADERO;Mon Sep 01 21:28:23 +0000 2014;37165;2187;41003;FALSO;NA;Vecina de Brooklyn;Buenos Aires;es;-10800;1762;fugitivahuella;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;https://twitter.com/leodelga2/status/773221736150081537;https://t.co/MpH3w0Z9H8
RT @ajms7: #RosarioSangra @leodelga2 @emergenciasAR @RosarioAlerta @rosarioinsegura @MinSeg https://t.co/2vX90rsdkx;13;FALSO;FALSO;7,73E+17;NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";FALSO;Tue Sep 06 23:27:12 +0000 2016;NA;NA;und;48;FALSO;Salta, Argentina, el infierno;51547321;Escribo... locurrencias® (mezcla de locura y ocurrencias).  Un día me echaron a los lobos, ahora lidero la manada.  Ojo con los DM, los puedo hacer públicos!;VERDADERO;Sat Jun 27 20:31:59 +0000 2009;72284;4718;82818;FALSO;http://www.twitter.com/carifarfanok;(((L-O-B-A)));America/Argentina/Buenos_Aires;es;-10800;1770;carinafarfanOK;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
El ministro @maxipullaro dice que se siente igual a todos, no parece. No nos vienen sucediendo los mismos episodios. #RosarioSangra;0;FALSO;FALSO;7,73E+17;NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";FALSO;Tue Sep 06 23:29:32 +0000 2016;NA;NA;es;20;FALSO;Brooklyn, NY;2784757783;Libertad para ser ineficiente y desgraciado.Libertad para ser una clavija redonda en un agujero cuadrado. (Un mundo feliz, Aldous Huxley) (((CHATARRERA)));VERDADERO;Mon Sep 01 21:28:23 +0000 2014;37166;2187;41003;FALSO;NA;Vecina de Brooklyn;Buenos Aires;es;-10800;1762;fugitivahuella;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"¿Cuánto vale una vida Sr Ministro? ¿Cuánto vale morir para siempre, Sr Ministro?
https://t.co/lis1Nzr5x3";0;FALSO;FALSO;7,73E+17;NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";FALSO;Tue Sep 06 23:31:10 +0000 2016;NA;NA;es;20;FALSO;Brooklyn, NY;2784757783;Libertad para ser ineficiente y desgraciado.Libertad para ser una clavija redonda en un agujero cuadrado. (Un mundo feliz, Aldous Huxley) (((CHATARRERA)));VERDADERO;Mon Sep 01 21:28:23 +0000 2014;37167;2187;41003;FALSO;NA;Vecina de Brooklyn;Buenos Aires;es;-10800;1762;fugitivahuella;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;https://twitter.com/fugitivahuella/status/773302141096194052;https://t.co/lis1Nzr5x3
RT @fugitivahuella: #RosarioSangra  a 48hs de pedir x nuestro derecho a vivir en libertad el hijo tiene que pedir sangre @maxipullaro . htt…;1;FALSO;FALSO;7,73E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";FALSO;Tue Sep 06 23:32:26 +0000 2016;NA;NA;es;12;FALSO;NA;239462117;casada..tres hijos..una nieta maravillosa.una hermosa familia;VERDADERO;Mon Jan 17 17:44:52 +0000 2011;14321;234;15687;FALSO;NA;Susy;Brasilia;es;-10800;646;Susysappietro;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;https://twitter.com/leodelga2/status/773221736150081537;https://t.co/MpH3w0Z9H8
RT @fugitivahuella: El ministro @maxipullaro dice que se siente igual a todos, no parece. No nos vienen sucediendo los mismos episodios. #R…;1;FALSO;FALSO;7,73E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";FALSO;Tue Sep 06 23:33:52 +0000 2016;NA;NA;es;4;FALSO;NA;1979410922;NA;VERDADERO;Mon Oct 21 17:15:31 +0000 2013;5728;146;1951;FALSO;NA;supercanalla;NA;es;NA;513;MGuastamacchi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RT @isasolcoria: #RosarioSangra. Y los fiscales ante esto no actúan de oficio ??? Estamos absolutamente desprotegidos https://t.co/Hf1SzkaU…;2;FALSO;FALSO;7,73E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";FALSO;Tue Sep 06 23:35:01 +0000 2016;NA;NA;es;4;FALSO;Rosario - Argentina;142827637;A veces, me temo.;VERDADERO;Tue May 11 21:44:17 +0000 2010;16528;330;10212;FALSO;NA;Houston, a problem..;Buenos Aires;es;-10800;755;pipoingeniero;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;https://twitter.com/ajms7/status/773193650369167360;https://t.co/Hf1SzkaUCV
